cont;experiment;percent
120;dec_w;33
120;con;96
120;con_b;51
120;con_w;51
120;inc;11
120;inc_b;41
120;inc_w;16
120;osc;36
121;osc_b;51
121;osc_w;27
121;dec;33
121;dec_b;33
121;dec_w;33
121;con;96
121;con_b;51
121;con_w;51
121;inc;11
121;inc_b;41
121;inc_w;16
121;osc;36
122;osc_b;51
122;osc_w;27
122;dec;33
122;dec_b;33
122;dec_w;33
122;con;96
122;con_b;51
122;con_w;52
122;inc;11
122;inc_b;41
122;inc_w;16
122;osc;36
123;osc_b;51
123;osc_w;27
123;dec;33
123;dec_b;33
123;dec_w;33
123;con;96
123;con_b;51
123;con_w;52
123;inc;11
123;inc_b;41
123;inc_w;16
123;osc;36
124;osc_b;51
124;osc_w;27
124;dec;33
124;dec_b;33
124;dec_w;33
124;con;96
124;con_b;51
124;con_w;52
124;inc;11
124;inc_b;41
124;inc_w;16
124;osc;36
125;osc_b;51
125;osc_w;27
125;dec;33
125;dec_b;33
125;dec_w;33
125;con;96
125;con_b;51
125;con_w;52
125;inc;11
125;inc_b;41
125;inc_w;16
125;osc;36
126;osc_b;51
126;osc_w;27
126;dec;33
126;dec_b;33
126;dec_w;33
126;con;96
126;con_b;51
126;con_w;52
126;inc;11
126;inc_b;41
126;inc_w;15
126;osc;36
127;osc_b;51
127;osc_w;27
127;dec;33
127;dec_b;33
127;dec_w;33
127;con;96
127;con_b;51
127;con_w;52
127;inc;11
127;inc_b;41
127;inc_w;16
127;osc;36
128;osc_b;51
128;osc_w;28
128;dec;33
128;dec_b;33
128;dec_w;33
128;con;96
128;con_b;51
128;con_w;52
128;inc;13
128;inc_b;41
128;inc_w;16
128;osc;36
129;osc_b;51
129;osc_w;28
129;dec;33
129;dec_b;33
129;dec_w;33
129;con;96
129;con_b;51
129;con_w;52
129;inc;13
129;inc_b;41
129;inc_w;16
129;osc;36
130;osc_b;51
130;osc_w;28
130;dec;33
130;dec_b;33
130;dec_w;33
130;con;96
130;con_b;50
130;con_w;50
130;inc;13
130;inc_b;39
130;inc_w;16
130;osc;36
131;osc_b;51
131;osc_w;28
131;dec;33
131;dec_b;33
131;dec_w;33
131;con;96
131;con_b;50
131;con_w;50
131;inc;14
131;inc_b;39
131;inc_w;16
131;osc;36
132;osc_b;51
132;osc_w;28
132;dec;33
132;dec_b;33
132;dec_w;33
132;con;96
132;con_b;50
132;con_w;49
132;inc;14
132;inc_b;39
132;inc_w;16
132;osc;36
133;osc_b;65
133;osc_w;28
133;dec;33
133;dec_b;33
133;dec_w;33
133;con;96
133;con_b;50
133;con_w;49
133;inc;14
133;inc_b;35
133;inc_w;16
133;osc;36
134;osc_b;65
134;osc_w;28
134;dec;33
134;dec_b;33
134;dec_w;33
134;con;96
134;con_b;50
134;con_w;49
134;inc;14
134;inc_b;38
134;inc_w;18
134;osc;36
135;osc_b;65
135;osc_w;28
135;dec;33
135;dec_b;33
135;dec_w;33
135;con;96
135;con_b;49
135;con_w;49
135;inc;14
135;inc_b;38
135;inc_w;18
135;osc;36
136;osc_b;65
