cont;experiment;percent
91;dec_b;9
91;dec_w;9
91;con;9
91;con_b;12
91;con_w;15
91;inc;9
91;inc_b;18
91;inc_w;18
91;osc;9
92;osc_b;18
92;osc_w;15
92;dec;9
92;dec_b;9
92;dec_w;9
92;con;9
92;con_b;12
92;con_w;15
92;inc;9
92;inc_b;18
92;inc_w;18
92;osc;9
93;osc_b;18
93;osc_w;15
93;dec;9
93;dec_b;9
93;dec_w;9
93;con;9
93;con_b;12
93;con_w;15
93;inc;9
93;inc_b;18
93;inc_w;18
93;osc;9
94;osc_b;18
94;osc_w;18
94;dec;9
94;dec_b;9
94;dec_w;9
94;con;9
94;con_b;15
94;con_w;15
94;inc;9
94;inc_b;18
94;inc_w;18
94;osc;9
95;osc_b;18
95;osc_w;18
95;dec;9
95;dec_b;9
95;dec_w;9
95;con;9
95;con_b;15
95;con_w;15
95;inc;9
95;inc_b;18
95;inc_w;18
95;osc;9
96;osc_b;18
96;osc_w;18
96;dec;9
96;dec_b;9
96;dec_w;9
96;con;9
96;con_b;15
96;con_w;15
96;inc;9
96;inc_b;18
96;inc_w;18
96;osc;9
97;osc_b;18
97;osc_w;18
97;dec;9
97;dec_b;9
97;dec_w;9
97;con;9
97;con_b;15
97;con_w;15
97;inc;9
97;inc_b;18
97;inc_w;18
97;osc;9
98;osc_b;18
98;osc_w;18
98;dec;9
98;dec_b;9
98;dec_w;9
98;con;9
98;con_b;15
98;con_w;15
98;inc;9
98;inc_b;18
98;inc_w;18
98;osc;9
99;osc_b;18
99;osc_w;18
99;dec;9
99;dec_b;9
99;dec_w;9
99;con;9
99;con_b;15
99;con_w;15
99;inc;9
99;inc_b;18
99;inc_w;18
99;osc;9
100;osc_b;18
100;osc_w;18
100;dec;9
100;dec_b;9
100;dec_w;9
100;con;9
100;con_b;15
100;con_w;15
100;inc;9
100;inc_b;18
100;inc_w;18
100;osc;9
101;osc_b;18
101;osc_w;18
101;dec;9
101;dec_b;9
101;dec_w;9
101;con;9
101;con_b;15
101;con_w;15
101;inc;9
101;inc_b;21
101;inc_w;18
101;osc;9
102;osc_b;18
102;osc_w;18
102;dec;9
102;dec_b;9
102;dec_w;9
102;con;9
102;con_b;15
102;con_w;15
102;inc;9
102;inc_b;21
102;inc_w;18
102;osc;9
103;osc_b;18
103;osc_w;18
103;dec;9
103;dec_b;9
103;dec_w;9
103;con;9
103;con_b;15
103;con_w;15
103;inc;9
103;inc_b;21
103;inc_w;18
103;osc;9
104;osc_b;18
104;osc_w;18
104;dec;9
104;dec_b;9
104;dec_w;9
104;con;9
104;con_b;15
104;con_w;15
104;inc;9
104;inc_b;21
104;inc_w;18
104;osc;9
105;osc_b;18
105;osc_w;18
105;dec;9
105;dec_b;9
105;dec_w;9
105;con;9
105;con_b;15
105;con_w;15
105;inc;9
105;inc_b;21
105;inc_w;18
105;osc;9
106;osc_b;18
106;osc_w;18
106;dec;9
106;dec_b;9
106;dec_w;9
106;con;9
106;con_b;15
106;con_w;18
106;inc;9
106;inc_b;21
106;inc_w;18
106;osc;9
107;osc_b;18
107;osc_w;18
107;dec;9
107;dec_b;9
107;dec_w;9
107;con;9
107;con_b;15
107;con_w;18
107;inc;9
107;inc_b;21
107;inc_w;18
107;osc;9
108;osc_b;18
108;osc_w;18
108;dec;9
108;dec_b;9
108;dec_w;9
108;con;9
108;con_b;18
108;con_w;18
108;inc;9
108;inc_b;21
108;inc_w;18
108;osc;9
109;osc_b;18
109;osc_w;18
109;dec;9
109;dec_b;9
109;dec_w;9
109;con;9
109;con_b;18
109;con_w;18
109;inc;9
109;inc_b;21
109;inc_w;18
109;osc;9
110;osc_b;18
110;osc_w;18
110;dec;9
110;dec_b;9
110;dec_w;9
110;con;9
110;con_b;18
110;con_w;18
110;inc;9
110;inc_b;21
110;inc_w;18
110;osc;9
111;osc_b;18
111;osc_w;18
111;dec;9
111;dec_b;9
111;dec_w;9
111;con;9
111;con_b;18
111;con_w;18
111;inc;9
111;inc_b;21
111;inc_w;18
111;osc;9
112;osc_b;18
112;osc_w;18
112;dec;9
112;dec_b;9
112;dec_w;9
112;con;9
112;con_b;18
112;con_w;18
112;inc;9
112;inc_b;21
112;inc_w;18
112;osc;9
113;osc_b;18
113;osc_w;18
113;dec;9
113;dec_b;9
113;dec_w;9
113;con;9
113;con_b;18
113;con_w;18
113;inc;9
113;inc_b;21
113;inc_w;18
113;osc;9
114;osc_b;18
114;osc_w;18
114;dec;9
114;dec_b;9
114;dec_w;9
114;con;9
114;con_b;18
114;con_w;18
114;inc;9
114;inc_b;21
114;inc_w;18
114;osc;9
115;osc_b;18
115;osc_w;18
115;dec;9
115;dec_b;9
115;dec_w;9
115;con;9
115;con_b;18
115;con_w;18
115;inc;9
115;inc_b;21
115;inc_w;21
115;osc;9
